movie_id,director_id,name,gender
40156,42617,Antonia Bird,1.0
11450,4135,Robert Redford,2.0
30304,994323,Kayo Hatta,0.0
10452,23724,Patrice Chéreau,2.0
12106,7623,Sam Raimi,2.0
161495,12804,Peter Yates,2.0
3586,9789,Robert Altman,2.0
110,1126,Krzysztof Kieślowski,2.0
108,1126,Krzysztof Kieślowski,2.0
109,1126,Krzysztof Kieślowski,2.0
159185,77305,He Ping,2.0
36357,45642,Fred Gerber,2.0
92769,133793,George Mihalka,2.0
28033,1524,Harold Ramis,2.0
22586,107274,Richard Rich,2.0
14334,102445,John Sayles,2.0
2636,26648,Luis Llosa,2.0
2164,6046,Roland Emmerich,2.0
11395,58072,John Pasquin,2.0
278,4027,Frank Darabont,2.0
9905,2034,Danny Boyle,2.0
87078,101444,Scott McGehee,2.0
87078,101446,David Siegel,2.0
12527,72646,Tomás Gutiérrez Alea,0.0
12527,72647,Juan Carlos Tabío,2.0
20306,57028,George Huang,2.0
36614,91499,Kevin Dowling,2.0
36614,72629,Geoff Burton,2.0
27993,64030,Kelly Makin,2.0
31439,607,Zhang Yimou,2.0
9067,56891,Rachel Talalay,1.0
9059,15521,Ernest R. Dickerson,2.0
193,2380,David Carson,2.0
25066,141825,Rusty Cundieff,2.0
46797,58080,Brian Gilbert,2.0
12122,11770,John Carpenter,2.0
11381,13426,Peter Segal,2.0
32636,15389,Louis Malle,2.0
36141,1884,Steven Soderbergh,2.0
95963,76705,Preston A. Whitmore II,2.0
1587,5306,Lasse Hallström,2.0
9271,57090,Brett Leonard,0.0
2064,12962,Jon Turteltaub,2.0
19855,18250,Jon Avnet,2.0
60855,1230367,Mina Shum,0.0
236,3045,P.J. Hogan,2.0
48287,83313,Melanie Mayron,1.0
3049,4499,Tom Shadyac,2.0
2759,27889,Stephan Elliott,2.0
12635,1978,Iain Softley,2.0
10497,3556,Roman Polanski,2.0
11382,1243,Woody Allen,2.0
9331,13015,Phillip Noyce,2.0
10731,5572,Joel Schumacher,2.0
10464,16853,Jessie Nelson,1.0
34152,5281,Spike Lee,2.0
9495,21085,Alex Proyas,2.0
29973,4037,Ron Shelton,2.0
888,13581,Brian Levant,2.0
13,24,Robert Zemeckis,2.0
712,10723,Mike Newell,2.0
16295,6482,John Singleton,2.0
48992,81727,Darnell Martin,1.0
10879,56106,Charles Shyer,2.0
10660,41550,Andrew Bergman,0.0
10714,7775,Stephen Sommers,2.0
41647,226963,Ray Müller,0.0
8587,15812,Roger Allers,2.0
8587,18898,Rob Minkoff,2.0
1689,4956,Bernardo Bertolucci,2.0
11596,5140,Wes Craven,2.0
854,26713,Chuck Russell,2.0
9359,7187,Richard Donner,2.0
23333,72427,Alan Rudolph,2.0
36593,13426,Peter Segal,2.0
12280,6159,Ron Howard,2.0
2788,7399,Ben Stiller,2.0
10427,21053,John Dahl,2.0
11011,18281,Donald Petrie,2.0
49803,83588,Robert Allan Ackerman,2.0
8987,323,Curtis Hanson,2.0
1637,2209,Jan de Bont,2.0
15128,33485,Ron Underwood,2.0
8831,37710,Peter Hyams,2.0
36955,2710,James Cameron,2.0
10449,46085,Luis Mandoki,0.0
10395,5342,Mike Nichols,2.0
12160,8844,Lawrence Kasdan,2.0
40480,42301,Damian Harris,2.0
52038,158634,Suri Krishnamma,2.0
29444,72125,Jefery Levy,2.0
26352,35689,Keenen Ivory Wayans,2.0
39953,133183,Robert Lee King,2.0
39953,1066114,Brian Sloan,2.0
39953,1087439,Raoul O'Connell,0.0
41580,234793,Yves Angelo,0.0
315,4590,Russ Meyer,0.0
22067,67896,Doug McHenry,2.0
18242,80537,Dave Borthwick,2.0
11667,1726,Steven E. de Souza,2.0
32502,486,Wallace Wolodarsky,2.0
267188,126837,Michael A. Nickles,2.0
28732,1142481,Paul Warner,2.0
75555,532207,Vincent Robert,0.0
42981,129216,Theodore Thomas,2.0
278939,1382436,Lucas Platt,0.0
291731,1385254,Ross Kagan Marks,0.0
226229,220152,Paul Williams,0.0
